leading_license_id;subordinate_license_id;leading_copyleft_status;subordinate_copyleft_status;osadl_compatibility;explanation
0BSD;AFL-2.0;No;No;Yes;"Non-copyleft licenses such as the AFL-2.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;AFL-2.1;No;No;Yes;"Non-copyleft licenses such as the AFL-2.1 license and the 0BSD license are generally considered mutually compatible."
0BSD;AFL-3.0;No;No;Yes;"Non-copyleft licenses such as the AFL-3.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;AGPL-3.0-only;No;Yes;No;"Software under a copyleft license such as the AGPL-3.0-only license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;AGPL-3.0-or-later;No;Yes;No;"Software under a copyleft license such as the AGPL-3.0-or-later license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;Apache-1.0;No;No;Yes;"Non-copyleft licenses such as the Apache-1.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;Apache-1.1;No;No;Yes;"Non-copyleft licenses such as the Apache-1.1 license and the 0BSD license are generally considered mutually compatible."
0BSD;Apache-2.0;No;No;Yes;"Non-copyleft licenses such as the Apache-2.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;Artistic-1.0;No;No;Yes;"Non-copyleft licenses such as the Artistic-1.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;Artistic-1.0-Perl;No;No;Yes;"Non-copyleft licenses such as the Artistic-1.0-Perl license and the 0BSD license are generally considered mutually compatible."
0BSD;Artistic-2.0;No;No;Yes;"Non-copyleft licenses such as the Artistic-2.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;Bitstream-Vera;No;No;Yes;"Non-copyleft licenses such as the Bitstream-Vera license and the 0BSD license are generally considered mutually compatible."
0BSD;blessing;No;No;Yes;"Non-copyleft licenses such as the blessing license and the 0BSD license are generally considered mutually compatible."
0BSD;BlueOak-1.0.0;No;No;Yes;"Non-copyleft licenses such as the BlueOak-1.0.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-1-Clause;No;No;Yes;"Non-copyleft licenses such as the BSD-1-Clause license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-2-Clause;No;No;Yes;"Non-copyleft licenses such as the BSD-2-Clause license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-2-Clause-Patent;No;No;Yes;"Non-copyleft licenses such as the BSD-2-Clause-Patent license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-3-Clause;No;No;Yes;"Non-copyleft licenses such as the BSD-3-Clause license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-3-Clause-Open-MPI;No;No;Yes;"Non-copyleft licenses such as the BSD-3-Clause-Open-MPI license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-4-Clause;No;No;Yes;"Non-copyleft licenses such as the BSD-4-Clause license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-4-Clause-UC;No;No;Yes;"Non-copyleft licenses such as the BSD-4-Clause-UC license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-4.3TAHOE;No;No;Yes;"Non-copyleft licenses such as the BSD-4.3TAHOE license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-Source-Code;No;No;Yes;"Non-copyleft licenses such as the BSD-Source-Code license and the 0BSD license are generally considered mutually compatible."
0BSD;BSL-1.0;No;No;Yes;"Non-copyleft licenses such as the BSL-1.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;bzip2-1.0.5;No;No;Yes;"Non-copyleft licenses such as the bzip2-1.0.5 license and the 0BSD license are generally considered mutually compatible."
0BSD;bzip2-1.0.6;No;No;Yes;"Non-copyleft licenses such as the bzip2-1.0.6 license and the 0BSD license are generally considered mutually compatible."
0BSD;CC-BY-2.5;No;No;Yes;"Non-copyleft licenses such as the CC-BY-2.5 license and the 0BSD license are generally considered mutually compatible."
0BSD;CC-BY-3.0;No;No;Yes;"Non-copyleft licenses such as the CC-BY-3.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;CDDL-1.0;No;Yes (restricted);No;"Software under a copyleft license such as the CDDL-1.0 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;CDDL-1.1;No;Yes (restricted);No;"Software under a copyleft license such as the CDDL-1.1 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;CPL-1.0;No;Yes;No;"Software under a copyleft license such as the CPL-1.0 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;curl;No;No;Yes;"Non-copyleft licenses such as the curl license and the 0BSD license are generally considered mutually compatible."
0BSD;ECL-1.0;No;No;Yes;"Non-copyleft licenses such as the ECL-1.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;ECL-2.0;No;No;Yes;"Non-copyleft licenses such as the ECL-2.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;EFL-2.0;No;No;Yes;"Non-copyleft licenses such as the EFL-2.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;EPL-1.0;No;Yes;No;"Software under a copyleft license such as the EPL-1.0 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;EPL-2.0;No;Yes (restricted);No;"Software under a copyleft license such as the EPL-2.0 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;EUPL-1.1;No;Yes;No;"Software under a copyleft license such as the EUPL-1.1 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;EUPL-1.2;No;Yes;No;"Software under a copyleft license such as the EUPL-1.2 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;FSFAP;No;No;Yes;"Non-copyleft licenses such as the FSFAP license and the 0BSD license are generally considered mutually compatible."
0BSD;FSFUL;No;No;Yes;"Non-copyleft licenses such as the FSFUL license and the 0BSD license are generally considered mutually compatible."
0BSD;FSFULLR;No;No;Yes;"Non-copyleft licenses such as the FSFULLR license and the 0BSD license are generally considered mutually compatible."
0BSD;FSFULLRWD;No;No;Yes;"Non-copyleft licenses such as the FSFULLRWD license and the 0BSD license are generally considered mutually compatible."
0BSD;FTL;No;No;Yes;"Non-copyleft licenses such as the FTL license and the 0BSD license are generally considered mutually compatible."
0BSD;GPL-1.0-only;No;Yes;No;"Software under a copyleft license such as the GPL-1.0-only license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;GPL-1.0-or-later;No;Yes;No;"Software under a copyleft license such as the GPL-1.0-or-later license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;GPL-2.0-only;No;Yes;No;"Software under a copyleft license such as the GPL-2.0-only license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;GPL-2.0-only WITH Classpath-exception-2.0;No;Yes (restricted);No;"Software under a copyleft license such as the GPL-2.0-only WITH Classpath-exception-2.0 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;GPL-2.0-or-later;No;Yes;No;"Software under a copyleft license such as the GPL-2.0-or-later license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;GPL-3.0-only;No;Yes;No;"Software under a copyleft license such as the GPL-3.0-only license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;GPL-3.0-or-later;No;Yes;No;"Software under a copyleft license such as the GPL-3.0-or-later license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;HPND;No;No;Yes;"Non-copyleft licenses such as the HPND license and the 0BSD license are generally considered mutually compatible."
0BSD;IBM-pibs;No;No;Yes;"Non-copyleft licenses such as the IBM-pibs license and the 0BSD license are generally considered mutually compatible."
0BSD;ICU;No;No;Yes;"Non-copyleft licenses such as the ICU license and the 0BSD license are generally considered mutually compatible."
0BSD;IJG;No;No;Yes;"Non-copyleft licenses such as the IJG license and the 0BSD license are generally considered mutually compatible."
0BSD;ImageMagick;No;No;Yes;"Non-copyleft licenses such as the ImageMagick license and the 0BSD license are generally considered mutually compatible."
0BSD;Info-ZIP;No;No;Yes;"Non-copyleft licenses such as the Info-ZIP license and the 0BSD license are generally considered mutually compatible."
0BSD;IPL-1.0;No;Yes;No;"Software under a copyleft license such as the IPL-1.0 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;ISC;No;No;Yes;"Non-copyleft licenses such as the ISC license and the 0BSD license are generally considered mutually compatible."
